,X,y
276,[ 0.06242496 -0.18546956 -0.09181596  1.1961052   0.04708021 -1.04028301],1
277,[-0.07030713 -0.12456722  0.09272258  0.73626151  0.17341769 -1.40383676],1
278,[-0.02302703 -0.15952072  0.05265139  1.05813392  0.10786339 -1.28329417],1
279,[ 0.09010575 -0.34485299 -0.04876133  1.09088389  0.08014125 -1.28125209],1
280,[-0.08784706 -0.15074634  0.05882959  1.12640618  0.0160768  -1.20522406],1
281,[ 0.18033495 -0.24453111 -0.31200831  0.9771407   0.13838219 -1.26431725],1
282,[ 0.22936806  1.57079633 -0.58505864  0.70757507  0.73012811 -0.22705289],0
283,[-0.13737718 -0.03750947  0.50934287  1.04522735  0.06626075 -1.37669675],1
284,[ 0.05995983 -0.37340183  0.24439732  1.01972485  0.13213878 -1.39419041],1
285,[-0.07896795  0.10819864  0.28409004  1.09570339  0.01769602 -1.23172496],1
286,[-0.19792466 -0.12257528  0.16416535  1.14527053  0.01071849 -1.01716189],1
287,[ 0.59485485 -0.63033681  0.4415734   0.96999142  0.20230213 -1.51812765],1
288,[ 0.84941926 -0.33650656  1.16819272  1.34289581  0.21545874  0.80957479],0
289,[ 0.2514621  -0.06072803  0.33286948  1.0178781   0.15044759 -1.33114242],1
290,[-0.44622529 -0.38153537 -0.07723805  1.10341806  0.0296439  -1.22389438],1
291,[-0.15714879 -0.15574731  0.1466492   1.03766704  0.10012941 -1.30501967],1
292,"[-1.82654086e-01 -3.14569054e-01  1.18902437e-04  1.20243683e+00
 -6.35122586e-02 -1.12567227e+00]",1
293,[ 1.41158303 -0.64913767 -0.02497585 -1.57079633 -1.57079633  0.57427004],0
294,[-1.06953834  0.57707249 -0.19502525  0.70192937  0.24814264 -0.45867325],0
295,[-0.35146349 -0.01946802  0.2333663   1.07884134  0.04158492 -1.30858962],1
296,[-0.46902734 -0.64951559 -0.38147227  1.05297974  0.05911769 -1.28022945],1
297,[ 0.07102368  0.22663728  0.08186428  1.1468085  -0.00596744 -1.18319604],1
298,[-0.15540019  0.17534546  0.10372622  1.20885357 -0.07935807 -0.93700207],1
299,[-0.04612063 -0.56674665 -0.20395856  1.22746625 -0.06396857 -0.70978788],0
300,[-0.40291704 -0.06587159 -0.05978504  1.01120101  0.01998827 -1.21287876],1
301,[ 0.16871084 -0.36957304  0.41535434  0.99098504  0.16199897 -1.43778791],1
302,[ 0.21517273 -0.12609556  0.13295041  1.06648124  0.11268824 -1.34222274],1
303,[-0.14309016 -0.74626954 -0.36126239  1.04181549  0.06207745 -1.30989161],1
304,[-0.12921767 -0.31553408 -0.25735664  1.09483395  0.04249052 -1.09401617],1
305,[-0.02228293 -0.11559354 -0.78756097  0.97264822  0.16241566 -0.39717973],0
306,[-0.15111213 -0.10250975 -0.21443181  1.03715133  0.17100538 -1.17263216],1
